"filename", "language", "TypeScript", "XML", "SCSS", "CSS", "TypeScript React", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/home/title/style.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/home/userTable/index.tsx", "TypeScript React", 0, 0, 0, 0, 105, 0, 0, 0, 0, 3, 15, 123
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/home/userTable/style.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/main/index.tsx", "TypeScript React", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/main/style.scss", "SCSS", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 102
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/canvas/index.tsx", "TypeScript React", 0, 0, 0, 0, 65, 0, 0, 0, 0, 2, 14, 81
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/identityInput/index.tsx", "TypeScript React", 0, 0, 0, 0, 188, 0, 0, 0, 0, 13, 29, 230
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/index.tsx", "TypeScript React", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/login/style.scss", "SCSS", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/register/index.tsx", "TypeScript React", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 14, 155
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/components/register/style.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/index.tsx", "TypeScript React", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 11, 92
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/home.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 48
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/index.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 71
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/rules/signin.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 92
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/components/signin/style.scss", "SCSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/fonts/iconfont.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/fonts/iconfont.svg", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 11, 36
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/canvas/canvas.interface.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 16
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/canvas/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/manage.interface.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/search.interface.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 27
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/home/usertable.interface.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 29
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/http.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/ref.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/login.interface.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/register.interface.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 12
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/signin/validate.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/storage/index.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/interfaces/storage/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/lang.tsx", "TypeScript React", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/lang/zh_CN.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/main.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/tikitaka/不会拉小提琴的左脚/个人/projects/学生成绩管理系统/student-grades-management/src/reset.scss", "SCSS", 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 5, 70
